nombre,tipo,telefono,rating_actual,reviews_count,reviews_4_estrellas,rating_potencial,impacto_estimado,top_topic_1,top_topic_2,top_topic_3,mensaje,url_gmb,place_id,address,enviado,respondio,agendo_call,hizo_call,trial,notas
Sarkis,restaurantes,+5491147724911,4.6,28018,5603,4.8,+19%,comida árabe (2144),comida árabe (1910),hummus (984),"Hola, analicé tus 28,018 reviews con IA:

Lo que más destacan de Sarkis:
→ 2,144 comida árabe ⭐
→ 1,910 comida árabe
→ 984 hummus

Tenés 5,600+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.6★ a 4.7★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",https://instagram.com/restaurantesarkis?igshid=1muwpf21lofr5,ChIJhZ31RYq1vJUResRODTKt81E,"Thames 1101, C1414DCW Cdad. Autónoma de Buenos Aires",False,,,,,
La Mezzetta,restaurantes,+5491145547585,4.6,26046,5209,4.8,+19%,fugazzetta (4463),la mejor pizza (508),argentinian pizza (119),"Hola, analicé tus 26,046 reviews con IA:

Lo que más destacan de La Mezzetta:
→ 4,463 fugazzetta ⭐
→ 508 la mejor pizza
→ 119 argentinian pizza

Tenés 5,200+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.6★ a 4.7★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",https://www.instagram.com/pizzerialamezzetta,ChIJkwhyr9-1vJURE3N1kCoPkQU,"Av. Álvarez Thomas 1321, C1427 Cdad. Autónoma de Buenos Aires",False,,,,,
Kansas Grill & Bar,restaurantes,+5491147764100,4.4,23724,4744,4.6000000000000005,+20%,letter (319),entrecote (308),tragos (277),"Hola, analicé tus 23,724 reviews con IA:

Lo que más destacan de Kansas Grill & Bar:
→ 319 letter ⭐
→ 308 entrecote
→ 277 tragos

Tenés 4,700+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.4★ a 4.5★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",http://www.kansasgrill.com/,ChIJsWhsu7u1vJUR92naZlzmt_A,"Av. del Libertador 4625, C1426 Cdad. Autónoma de Buenos Aires",False,,,,,
La Cabrera,restaurantes,+5491148310325,4.3,22142,4428,4.7,+44%,entraña (809),entrecote (436),provoleta (157),"Hola, analicé tus 22,142 reviews con IA:

Lo que más destacan de La Cabrera:
→ 809 entraña ⭐
→ 436 entrecote
→ 157 provoleta

Tenés 4,400+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.3★ a 4.4★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",http://lacabrera.com.ar/,ChIJvx_Xcom1vJURxZN2FRnkgaA,"José A. Cabrera 5127, C1414BGQ Cdad. Autónoma de Buenos Aires, Argentina",False,,,,,
Don Julio,restaurantes,+5491148319564,4.4,17896,3579,4.6000000000000005,+20%,espumante (668),cava (548),sommelier (146),"Hola, analicé tus 17,896 reviews con IA:

Lo que más destacan de Don Julio:
→ 668 espumante ⭐
→ 548 cava
→ 146 sommelier

Tenés 3,500+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.4★ a 4.5★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",https://www.parrilladonjulio.com/,ChIJoYl36oa1vJURWWhqD9z3UV8,"Guatemala 4699, C1425 Cdad. Autónoma de Buenos Aires, Argentina",False,,,,,
DANDY - Libertador,restaurantes,+5491151257680,4.4,14333,2866,4.6000000000000005,+20%,letter (192),tragos (104),pastrami (77),"Hola, analicé tus 14,333 reviews con IA:

Lo que más destacan de DANDY - Libertador:
→ 192 letter ⭐
→ 104 tragos
→ 77 pastrami

Tenés 2,800+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.4★ a 4.5★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",https://somosdandy.com/,ChIJebcRVGO1vJURKqb96iU0S7Y,"Av. del Libertador 2410, C1425 Cdad. Autónoma de Buenos Aires",False,,,,,
Quotidiano Bar de Pasta Alto Palermo,restaurantes,+5491121577858,4.4,14208,2841,4.6000000000000005,+20%,ravioli (273),pappardelle (215),gnocchi (148),"Hola, analicé tus 14,208 reviews con IA:

Lo que más destacan de Quotidiano Bar de Pasta Alto Palermo:
→ 273 ravioli ⭐
→ 215 pappardelle
→ 148 gnocchi

Tenés 2,800+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.4★ a 4.5★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",https://instagram.com/il_quotidiano,ChIJoYu1IVvLvJURGumIGnomnxk,"Arenales 3360, C1425 Cdad. Autónoma de Buenos Aires",False,,,,,
The Panera Rosa,restaurantes,+5491145840194,4.1,12245,2449,4.5,+44%,cafe con leche (585),café (342),letter (273),"Hola, analicé tus 12,245 reviews con IA:

Lo que más destacan de The Panera Rosa:
→ 585 cafe con leche ⭐
→ 342 café
→ 273 letter

Tenés 2,400+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.1★ a 4.2★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",http://www.lapanerarosa.com.ar/,ChIJDYIjhYi1vJURhbkxaf1PsNY,"Jorge Luis Borges 1689, C1414DGA Cdad. Autónoma de Buenos Aires, Argentina",False,,,,,
La Parolaccia Dolce,restaurantes,+5491145111774,4.3,12193,2438,4.7,+44%,flauta de champán (1055),ravioles (165),carta (161),"Hola, analicé tus 12,193 reviews con IA:

Lo que más destacan de La Parolaccia Dolce:
→ 1,055 flauta de champán ⭐
→ 165 ravioles
→ 161 carta

Tenés 2,400+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.3★ a 4.4★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",http://www.laparolaccia.com/,ChIJ981dgcy1vJURk0Hrf2C3ls8,"Av. del Libertador 5823, C1428ARB Cdad. Autónoma de Buenos Aires",False,,,,,
La Parolaccia Dolce,cafeterias,+5491145111774,4.3,12193,2438,4.7,+44%,flauta de champán (1055),ravioles (165),carta (161),"Hola, analicé tus 12,193 reviews con IA:

Lo que más destacan de La Parolaccia Dolce:
→ 1,055 flauta de champán ⭐
→ 165 ravioles
→ 161 carta

Tenés 2,400+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.3★ a 4.4★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",http://www.laparolaccia.com/,ChIJ981dgcy1vJURk0Hrf2C3ls8,"Av. del Libertador 5823, C1428ARB Cdad. Autónoma de Buenos Aires",False,,,,,
